iter	Passed	Remaining
622	1747	1057
623	1758	1059
624	1759	1055
625	1761	1052
626	1762	1048
627	1763	1044
628	1764	1041
629	1766	1037
630	1773	1037
631	1774	1033
632	1776	1029
633	1777	1025
634	1778	1022
635	1779	1018
636	1781	1015
637	1790	1015
638	1792	1012
639	1793	1008
640	1794	1005
641	1795	1001
642	1796	997
643	1798	993
644	1806	994
645	1807	990
646	1809	987
647	1810	983
648	1812	979
649	1813	976
650	1814	972
651	1825	974
652	1827	971
653	1828	967
654	1829	963
655	1836	962
656	1838	959
657	1839	956
658	1840	952
659	1841	948
660	1843	945
661	1844	941
662	1845	938
663	1850	936
664	1852	933
665	1853	929
666	1855	926
667	1856	922
668	1857	918
669	1859	916
670	1860	912
671	1867	911
672	1871	909
673	1872	905
674	1873	902
675	1874	898
676	1875	895
677	1877	891
678	1885	891
679	1887	888
680	1888	884
681	1889	881
682	1891	877
683	1892	874
684	1899	873
685	1901	870
686	1902	866
687	1903	863
688	1904	859
689	1906	856
690	1907	852
691	1908	849
692	1914	847
693	1916	844
694	1917	841
695	1918	838
696	1919	834
697	1921	831
698	1922	827
699	1923	824
700	1924	820
701	1926	817
702	1927	814
703	1929	811
704	1930	807
705	1931	804
706	1933	801
707	1937	799
708	1939	796
709	1940	792
710	1945	790
711	1946	787
712	1948	784
713	1956	783
714	1957	780
715	1959	777
716	1960	773
717	1961	770
718	1962	766
719	1963	763
720	1964	760
721	1969	758
722	1971	755
723	1972	752
724	1974	748
725	1975	745
726	1976	742
727	1977	738
728	1978	735
729	1980	732
730	1987	731
731	1989	728
732	1990	725
733	1991	721
734	1993	718
735	1995	715
736	1996	712
737	2001	710
738	2003	707
739	2005	704
740	2006	701
741	2007	698
742	2008	694
743	2009	691
744	2011	688
745	2019	687
746	2020	684
747	2021	681
748	2022	677
749	2024	674
750	2025	671
751	2027	668
752	2032	666
753	2034	663
754	2035	660
755	2037	657
756	2038	654
757	2040	651
758	2041	648
759	2042	645
760	2043	641
761	2051	640
762	2052	637
763	2053	634
764	2054	631
765	2056	628
766	2057	624
767	2059	622
768	2063	619
769	2065	617
770	2067	614
771	2069	611
772	2070	608
773	2071	604
774	2073	601
775	2074	598
776	2081	597
777	2083	594
778	2084	591
779	2085	588
780	2086	585
781	2087	582
782	2089	578
783	2090	575
784	2095	573
785	2097	571
786	2098	568
787	2100	564
788	2101	561
789	2102	558
790	2103	555
791	2104	552
792	2105	549
793	2113	548
794	2114	545
795	2116	542
796	2117	539
797	2118	536
798	2120	533
799	2121	530
800	2122	527
801	2128	525
802	2130	522
803	2131	519
804	2140	518
805	2141	515
806	2143	512
807	2144	509
808	2145	506
809	2147	503
810	2153	501
811	2155	498
812	2157	496
813	2158	493
814	2160	490
815	2161	487
816	2162	484
817	2163	481
818	2167	479
819	2169	476
820	2170	473
821	2172	470
822	2173	467
823	2174	464
824	2176	461
825	2182	459
826	2183	456
827	2184	453
828	2186	450
829	2187	447
830	2188	445
831	2189	442
832	2190	439
833	2191	436
834	2197	434
835	2199	431
836	2200	428
837	2201	425
838	2202	422
839	2203	419
840	2205	416
841	2206	414
842	2207	411
843	2212	408
844	2213	406
845	2216	403
846	2217	400
847	2218	397
848	2219	394
849	2221	391
850	2222	389
851	2227	386
852	2231	384
853	2232	381
854	2233	378
855	2235	376
856	2236	373
857	2238	370
858	2242	368
859	2244	365
860	2245	362
861	2246	359
862	2248	356
863	2249	354
864	2254	351
865	2262	350
866	2264	347
867	2265	344
868	2267	341
869	2268	338
870	2269	336
871	2273	333
872	2275	331
873	2276	328
874	2277	325
875	2279	322
876	2280	319
877	2281	317
878	2282	314
879	2283	311
880	2285	308
881	2291	306
882	2293	303
883	2294	301
884	2295	298
885	2296	295
886	2298	292
887	2299	289
888	2300	287
889	2301	284
890	2307	282
891	2308	279
892	2310	276
893	2311	274
894	2312	271
895	2313	268
896	2315	265
897	2316	263
898	2324	261
899	2326	258
900	2327	255
901	2329	253
902	2330	250
903	2332	247
904	2333	244
905	2337	242
906	2339	239
907	2340	237
908	2342	234
909	2343	231
910	2344	229
911	2345	226
912	2356	224
913	2358	221
914	2359	219
915	2360	216
916	2362	213
917	2363	211
918	2364	208
919	2369	206
920	2370	203
921	2371	200
922	2373	198
923	2374	195
924	2375	192
925	2376	189
926	2378	187
927	2379	184
928	2386	182
929	2387	179
930	2388	177
931	2390	174
932	2391	171
933	2392	169
934	2394	166
935	2395	163
936	2400	161
937	2401	158
938	2402	156
939	2404	153
940	2405	150
941	2406	148
942	2407	145
943	2409	142
944	2410	140
945	2417	138
946	2418	135
947	2420	132
948	2421	130
949	2422	127
950	2423	124
951	2425	122
952	2426	119
953	2430	117
954	2431	114
955	2433	111
956	2434	109
957	2436	106
958	2437	104
959	2439	101
960	2440	99
961	2441	96
962	2449	94
963	2450	91
964	2451	88
965	2452	86
966	2454	83
967	2455	81
968	2456	78
969	2457	76
970	2461	73
971	2463	70
972	2464	68
973	2465	65
974	2466	63
975	2468	60
976	2469	58
977	2470	55
978	2471	53
979	2472	50
980	2474	47
981	2480	45
982	2481	42
983	2482	40
984	2486	37
985	2488	35
986	2489	32
987	2493	30
988	2495	27
989	2496	25
990	2497	22
991	2498	20
992	2499	17
993	2501	15
994	2502	12
995	2503	10
996	2504	7
997	2511	5
998	2513	2
999	2514	0
